id,name,slug,barcode,category,brand,aggregate_stock,is_available,stock_by_capacity_json,capacity_field,capacity_labels,capacity_pricing_detail
1179,K.O Chilli and Turmeric Tonic Water,kenyan-originals-ko-chilli-and-turmeric-tonic-water-six-pack,,Soft Drinks,Kenyan-Originals,10,true,,Six Pack,Six Pack,
1684,Redbull Energy Drink 250ml,red-bull-gmbh-redbull-energy-drink-250ml-1-piece,,Soft Drinks,Red Bull GmbH,10,true,,1 Piece | 4 Pack,1 Piece | 4 Pack,
526,Coca Cola Original,coca-cola-coca-cola-original-1-litre,,Soft Drinks,Coca cola,10,true,,1 Litre | 2litres,1 Litre | 2litres,
602,Dasani Water,coca-cola-dasani-water-500ml,,Soft Drinks,Coca cola,10,true,,500ml | 1 Litre,500ml | 1 Litre,
740,Fanta Orange,coca-cola-fanta-orange-2-litres,,Soft Drinks,Coca cola,10,true,,2 Litres,2 Litres,
741,Fanta Orange 500ml,coca-cola-fanta-orange-500ml-500ml,,Soft Drinks,Coca cola,10,true,,500ml,500ml,
742,Fanta-black-currant,coca-cola-fanta-black-currant-2litres,,Soft Drinks,Coca cola,10,true,,2litres,2litres,
1819,Sprite,coca-cola-sprite-2litres,,Soft Drinks,Coca cola,10,true,,2litres,2litres,
616,Delmonte Mango,delmonte-juice-delmonte-mango-1-litre,,Soft Drinks,Delmonte-Juice,10,true,,1 Litre,1 Litre,
617,Delmonte Mixed Berry,delmonte-juice-delmonte-mixed-berry-1-litre,,Soft Drinks,Delmonte-Juice,10,true,,1 Litre,1 Litre,
618,Delmonte Orange,delmonte-juice-delmonte-orange-1-litre,,Soft Drinks,Delmonte-Juice,10,true,,1 Litre,1 Litre,
619,Delmonte Passion,delmonte-juice-delmonte-passion-1-litre,,Soft Drinks,Delmonte-Juice,10,true,,1 Litre,1 Litre,
620,Delmonte Tropical,delmonte-juice-delmonte-tropical-1-litre,,Soft Drinks,Delmonte-Juice,10,true,,1 Litre,1 Litre,
621,Delmonte pineapple,delmonte-juice-delmonte-pineapple-1-litre,,Soft Drinks,Delmonte-Juice,10,true,,1 Litre,1 Litre,
780,Fitch & Leedes Classic Passionade,fitch-leedes-tonics-fitch-leedes-classic-passionade-300ml,,Soft Drinks,Fitch & leedes tonics,10,true,,300ml,300ml,
781,Fitch & Leedes Club Soda,fitch-leedes-tonics-fitch-leedes-club-soda-200ml,,Soft Drinks,Fitch & leedes tonics,10,true,,200ml,200ml,
782,Fitch & Leedes Ginger Ale,fitch-leedes-tonics-fitch-leedes-ginger-ale-200ml,,Soft Drinks,Fitch & leedes tonics,10,true,,200ml,200ml,
783,Fitch & Leedes Grapefruit Tonic,fitch-leedes-tonics-fitch-leedes-grapefruit-tonic-200ml,,Soft Drinks,Fitch & leedes tonics,10,true,,200ml,200ml,
786,Fitch & Leedes Lemonade,fitch-leedes-tonics-fitch-leedes-lemonade-200ml,,Soft Drinks,Fitch & leedes tonics,10,true,,200ml,200ml,
788,Fitch & Leedes Moments Shirley Temple,fitch-leedes-tonics-fitch-leedes-moments-shirley-temple-300ml,,Soft Drinks,Fitch & leedes tonics,10,true,,300ml,300ml,
1749,Schweppes Tonic Water,schweppes-tonic-schweppes-tonic-water-500ml,,Soft Drinks,Schweppes Tonic,10,true,,500ml,500ml,
1230,Keringet Still Water,keringet-keringet-still-water-1-litre,,Soft Drinks,Keringet,10,true,,1 Litre,1 Litre,
1311,Lime cordial,pep-lime-cordial-15-litres,,Soft Drinks,Pep,10,true,,1.5 Litres,1.5 Litres,
1500,Monster Energy,monster-energy-monster-energy-250ml,,Soft Drinks,Monster Energy,9,true,,250ml | 500ml,250ml | 500ml,
1502,Monster Energy Absolutely Zero,monster-energy-monster-energy-absolutely-zero-500ml,,Soft Drinks,Monster Energy,10,true,,500ml,500ml,
1504,Monster Energy Import,monster-energy-monster-energy-import-500ml,,Soft Drinks,Monster Energy,10,true,,500ml,500ml,
1506,Monster Energy Lo Carb,monster-energy-monster-energy-lo-carb-500ml,,Soft Drinks,Monster Energy,10,true,,500ml,500ml,
1647,Pimm`s,pimms-pimms-750ml,,Soft Drinks,Pimm`s,10,true,,750ML.,750ML.,
1731,San-pellegrino Aranciata  can,san-pellegrino-aranciata-san-pellegrino-aranciata-can-six-pack,,Soft Drinks,San-pellegrino Aranciata,10,true,,Six Pack,Six Pack,
940,Gofrut Lemon Mint Mojito,gofrut-lemon-mint-mojito-1-litre,,Soft Drinks,,10,true,,1 Litre,1 Litre,
1723,Safari Lemonade,safari-lemonade-300ml,,Soft Drinks,,10,true,,300ml,300ml,
1131,Johnnie Walker 18 Years,johnnie-walker-johnnie-walker-18-years-750ml,,Whisky,Johnnie Walker,10,true,,750ml,750ml,
1132,Johnnie Walker A song of Ice,johnnie-walker-johnnie-walker-a-song-of-ice-1-litre,,Whisky,Johnnie Walker,10,true,,1 Litre,1 Litre,
1133,Johnnie Walker Black Label,johnnie-walker-johnnie-walker-black-label-1-litre,,Whisky,Johnnie Walker,10,true,,1 Litre | 750ML.,1 Litre | 750ML.,
1134,Johnnie Walker Black Lowlands,johnnie-walker-johnnie-walker-black-lowlands-1-litre,,Whisky,Johnnie Walker,10,true,,1 Litre,1 Litre,
1136,Johnnie Walker Blue Label,johnnie-walker-johnnie-walker-blue-label-750ml,,Whisky,Johnnie Walker,10,true,,750ML. | 1 Litre,750ML. | 1 Litre,
1137,Johnnie Walker Double Black,johnnie-walker-johnnie-walker-double-black-1-litre,,Whisky,Johnnie Walker,10,true,,1 Litre | 750ML.,1 Litre | 750ML.,
1138,Johnnie Walker Explorers Club Collection The Spice Road,johnnie-walker-johnnie-walker-explorers-club-collection-the-spice-road-1-litre,,Whisky,Johnnie Walker,10,true,,1 Litre,1 Litre,
1139,Johnnie Walker Gold Label,johnnie-walker-johnnie-walker-gold-label-1-litre,,Whisky,Johnnie Walker,10,true,,1 Litre | 750ML.,1 Litre | 750ML.,
1140,Johnnie Walker Gold Reserve Bullion,johnnie-walker-johnnie-walker-gold-reserve-bullion-750ml,,Whisky,Johnnie Walker,10,true,,750ML.,750ML.,
1141,Johnnie Walker Green Label,johnnie-walker-johnnie-walker-green-label-750ml,,Whisky,Johnnie Walker,10,true,,750ML.,750ML.,
1142,Johnnie Walker Odyssey,johnnie-walker-johnnie-walker-odyssey-700ml,,Whisky,Johnnie Walker,10,true,,700ML,700ML,
1144,Johnnie Walker Red label,johnnie-walker-johnnie-walker-red-label-1-litre,,Whisky,Johnnie Walker,10,true,,1 Litre | 750ML.,1 Litre | 750ML.,
1145,Johnnie Walker Select Cask,johnnie-walker-johnnie-walker-select-cask-1-litre,,Whisky,Johnnie Walker,10,true,,1 Litre,1 Litre,
1146,Johnnie Walker Songs of Fire,johnnie-walker-johnnie-walker-songs-of-fire-750ml,,Whisky,Johnnie Walker,10,true,,750ml,750ml,
1148,Johnnie Walker Ultimate 18 Years,johnnie-walker-johnnie-walker-ultimate-18-years-1-litre,,Whisky,Johnnie Walker,10,true,,1 Litre,1 Litre,
1149,Johnnie Walker XR,johnnie-walker-johnnie-walker-xr-700ml,,Whisky,Johnnie Walker,10,true,,700ML,700ML,
1150,Jonnie Walker Private Collection Whisky,johnnie-walker-jonnie-walker-private-collection-whisky-700ml,,Whisky,Johnnie Walker,10,true,,700ML,700ML,
1235,King George V,johnnie-walker-king-george-v-700ml,,Whisky,Johnnie Walker,10,true,,700ML,700ML,
1680,Red Label 750ml,johnnie-walker-red-label-750ml-750ml,,Whisky,Johnnie Walker,10,true,,750ML.,750ML.,
1998,White Walker Whiskey,johnnie-walker-white-walker-whiskey-750ml,,Whisky,Johnnie Walker,10,true,,750ML.,750ML.,
2001,Whitewalker 1litre,johnnie-walker-whitewalker-1litre-1-litre,,Whisky,Johnnie Walker,10,true,,1 Litre,1 Litre,
1780,Singleton 12 Yrs Luscious Nectar,singleton-singleton-12-yrs-luscious-nectar-700ml,,Whisky,Singleton,10,true,,700ML,700ML,
1781,Singleton 15 Years,singleton-singleton-15-years-750ml,,Whisky,Singleton,10,true,,750ml,750ml,
1782,Singleton 18 Years,singleton-singleton-18-years-750ml,,Whisky,Singleton,10,true,,750ml,750ml,
1783,Singleton Luscious Nectar,singleton-singleton-luscious-nectar-750ml,,Whisky,Singleton,10,true,,750ML.,750ML.,
1498,Monkey Shoulder,monkey-shoulder-monkey-shoulder-1-litre,,Whisky,Monkey Shoulder,10,true,,1 Litre | 750ML.,1 Litre | 750ML.,
1071,J&B 15 Years,jnb-jb-15-years-1-litre,,Whisky,JnB,10,true,,1 Litre,1 Litre,
1072,J&B Honey,jnb-jb-honey-750ml,,Whisky,JnB,10,true,,750ML.,750ML.,
1127,JnB Rare,jnb-jnb-rare-1-litre,,Whisky,JnB,10,true,,1 Litre | 750ML.,1 Litre | 750ML.,
922,Glenmorangie 10 Year Old,glenmorangie-glenmorangie-10-year-old-1-litre,,Whisky,Glenmorangie,10,true,,1 Litre | 700ML,1 Litre | 700ML,
923,Glenmorangie 18 Years,glenmorangie-glenmorangie-18-years-700ml,,Whisky,Glenmorangie,10,true,,700ML,700ML,
924,Glenmorangie Grand Vintage Malt 1996,glenmorangie-glenmorangie-grand-vintage-malt-1996-700ml,,Whisky,Glenmorangie,10,true,,700ML,700ML,
26,Glenmorangie Nectar D`or Whisky,glenmorangie-glenmorangie-nectar-dor-whisky-700ml,,Whisky,Glenmorangie,10,true,,700ML,700ML,
925,Glenmorangie Quinta Ruban,glenmorangie-glenmorangie-quinta-ruban-750ml,,Whisky,Glenmorangie,10,true,,750ML.,750ML.,
929,Glenmorangie The Lasanta Whisky,glenmorangie-glenmorangie-the-lasanta-whisky-700ml,,Whisky,Glenmorangie,10,true,,700ML,700ML,
930,Glenmorangie The Tribute 16 Years,glenmorangie-glenmorangie-the-tribute-16-years-1-litre,,Whisky,Glenmorangie,10,true,,1 Litre,1 Litre,
931,Glenmorangie X Whisky,glenmorangie-glenmorangie-x-whisky-700ml,,Whisky,Glenmorangie,10,true,,700ML,700ML,
659,Drambuie,drambuie-drambuie-1-litre,,Whisky,Drambuie,10,true,,1 Litre,1 Litre,
590,Dalmore 12 Years,dalmore-dalmore-12-years-700ml,,Whisky,Dalmore,10,true,,700ML,700ML,
592,Dalmore 15 Years,dalmore-dalmore-15-years-700ml,,Whisky,Dalmore,10,true,,700ML,700ML,
593,Dalmore 18 Years,dalmore-dalmore-18-years-700ml,,Whisky,Dalmore,10,true,,700ML,700ML,
594,Dalmore Cigar Malt Whisky,dalmore-dalmore-cigar-malt-whisky-1-litre,,Whisky,Dalmore,10,true,,1 Litre,1 Litre,
595,Dalmore Port Wood Reserve,dalmore-dalmore-port-wood-reserve-700ml,,Whisky,Dalmore,10,true,,700ML,700ML,
596,Dalmore Valour,dalmore-dalmore-valour-1-litre,,Whisky,Dalmore,10,true,,1 Litre,1 Litre,
2014,Wild Turkey Longbranch,wild-turkey-wild-turkey-longbranch-1-litre,,Whisky,Wild Turkey,10,true,,1 Litre,1 Litre,
1942,Tullamore Dew,tullamore-dew-tullamore-dew-1-litre,,Whisky,Tullamore Dew,10,true,,1 Litre | 700ML,1 Litre | 700ML,
1042,Hibiki Suntory,hibiki-hibiki-suntory-700ml,,Whisky,Hibiki,10,true,,700ML,700ML,
219,Ballantine`s,ballantines-ballantines-1-litre,,Whisky,Ballantines,10,true,,1 Litre | 750ML.,1 Litre | 750ML.,
220,Ballantine`s 12 Years,ballantines-ballantines-12-years-700ml,,Whisky,Ballantines,10,true,,700ML,700ML,
221,Ballantine`s 17 Years,ballantines-ballantines-17-years-700ml,,Whisky,Ballantines,10,true,,700ML,700ML,
597,Dalwhinnie 15 years,dalwhinnie-dalwhinnie-15-years-750ml,,Whisky,Dalwhinnie,10,true,,750ML.,750ML.,
599,Dalwhinnie Malt Winters Gold,dalwhinnie-dalwhinnie-malt-winters-gold-700ml,,Whisky,Dalwhinnie,10,true,,700ML,700ML,
1953,VAT 69,vat-69-vat-69-1-litre,,Whisky,VAT 69,10,true,,1 Litre | 750ML.,1 Litre | 750ML.,
2028,Woodford Reserve,woodford-reserve-woodford-reserve-1-litre,,Whisky,Woodford Reserve,10,true,,1 Litre | 700ML,1 Litre | 700ML,
2029,Woodford Reserve Double Oak,woodford-reserve-woodford-reserve-double-oak-1-litre,,Whisky,Woodford Reserve,10,true,,1 Litre,1 Litre,
1129,John Barr Black,john-barr-john-barr-black-750ml,,Whisky,John Barr,10,true,,750ML. | 1 Litre,750ML. | 1 Litre,
1130,John Barr Red,john-barr-john-barr-red-1-litre,,Whisky,John Barr,10,true,,1 Litre,1 Litre,
2010,Whytehall Fire,whytehall-whytehall-fire-750ml,,Whisky,Whytehall,10,true,,750ml,750ml,
1902,The Ardmore,the-ardmore-the-ardmore-1-litre,,Whisky,The Ardmore,10,true,,1 Litre,1 Litre,
84,Aberlour 10 Years,aberlour-aberlour-10-years-700ml,,Whisky,Aberlour,10,true,,700ML,700ML,
85,Aberlour 12 Years,aberlour-aberlour-12-years-700ml,,Whisky,Aberlour,10,true,,700ML,700ML,
1242,Knob Creek,knob-creek-knob-creek-750ml,,Whisky,Knob Creek,10,true,,750ML.,750ML.,
933,Glenrothes,glenrothes-glenrothes-700ml,,Whisky,Glenrothes,10,true,,700ML,700ML,
934,Glenrothes John Ramsey,glenrothes-glenrothes-john-ramsey-700ml,,Whisky,Glenrothes,10,true,,700ML,700ML,
1161,Jura 12 Years Old,jura-jura-12-years-old-700ml,,Whisky,Jura,10,true,,700ML,700ML,
1162,Jura 16 Years Whisky,jura-jura-16-years-whisky-700ml,,Whisky,Jura,10,true,,700ML,700ML,
1163,Jura 21 Years Tide,jura-jura-21-years-tide-700ml,,Whisky,Jura,10,true,,700ML,700ML,
1164,Jura Seven Wood Whisky,jura-jura-seven-wood-whisky-700ml,,Whisky,Jura,10,true,,700ML,700ML,
1165,Jura Superstition,jura-jura-superstition-700ml,,Whisky,Jura,10,true,,700ML,700ML,
1166,Jura The Loch whisky,jura-jura-the-loch-whisky-700ml,,Whisky,Jura,10,true,,700ML,700ML,
1167,Jura The Road,jura-jura-the-road-1-litre,,Whisky,Jura,10,true,,1 Litre,1 Litre,
1168,Jura The Sound,jura-jura-the-sound-1-litre,,Whisky,Jura,10,true,,1 Litre,1 Litre,
1169,Jura Two-One Two whisky,jura-jura-two-one-two-whisky-1-litre,,Whisky,Jura,10,true,,1 Litre,1 Litre,
1170,Jura Whisky 10 Years,jura-jura-whisky-10-years-700ml,,Whisky,Jura,10,true,,700ML,700ML,
1171,Jura journey malt whisky,jura-jura-journey-malt-whisky-700ml,,Whisky,Jura,10,true,,700ML,700ML,
1263,Lagavulin 12 years,lagavulin-lagavulin-12-years-700ml,,Whisky,Lagavulin,10,true,,700ML,700ML,
1264,Lagavulin 16 years,lagavulin-lagavulin-16-years-750ml,,Whisky,Lagavulin,10,true,,750ML.,750ML.,
79,8PM Indian Whisky,8pm-liqueur-8pm-indian-whisky-1-litre,,Whisky,8PM Liqueur,10,true,,1 Litre,1 Litre,
81,Aberfeldy 12 Years,aberfeldy-whisky-aberfeldy-12-years-700ml,,Whisky,Aberfeldy whisky,10,true,,700ML,700ML,
