Category,SubCategory,Drink Name,Description,Price (KES),Capacity,ABV,Origin,Special Notes
Brandy,All Brandy,Emperador Brandy,Emperador Brandy (ABV 36%), Philippine,3500,750ML,36,Philippine,
Brandy,All Brandy,Don Montego VSOP,Don Montego VSOP (ABV 40%), Moldova,2100,750ML,40,Moldova,
Brandy,All Brandy,Grand Marnier Raspberry Peach,Grand Marnier Raspberry Peach (ABV 40%), France,4400,750ML,40,France,
Brandy,All Brandy,Viceroy,Viceroy (ABV 43%), France,1700,750ML,43,France,
Brandy,All Brandy,St Remy XO,St Remy XO (ABV 40%), France,3400,700ML,40,France,
Brandy,All Brandy,Napoleon Gold Brandy,Napoleon Gold Brandy (ABV 37.5%), France,1800,750ML,37.5,France,
Brandy,All Brandy,Richot Brandy 750ml,Richot Brandy 750ml (ABV 40%), Italy,1550,750ML,40,Italy,
Brandy,All Brandy,Grand Marnier Nuit Parisienne,Grand Marnier Nuit Parisienne (ABV 40%), France,5900,750ml,40,France,
Brandy,All Brandy,Dusse VSOP Cognac,Dusse VSOP Cognac (ABV 40%), France,11200,700ML,40,France,
Brandy,All Brandy,Viceroy 10 Years,Viceroy 10 Years (ABV 36%), South Africa,4300,750ML,36,South Africa,
Brandy,All Brandy,Bardinet VSOP Brandy,Bardinet VSOP Brandy (ABV 40%), France,750ml,2400,40,France,
Brandy,All Brandy,Imperial Blue Whiskey,Imperial Blue Whiskey (ABV 42.8%), India,750ML,1500,42.8,India,
Brandy,All Brandy,KWV Brandy 10 years,KWV Brandy 10 years (ABV 38%), South Africa,750ML,3700,38,South Africa,
Brandy,All Brandy,Cicero Brandy,Cicero Brandy (ABV 40%), Kenya,750ML,1400,40,Kenya,
Brandy,All Brandy,St Remy VSOP,St Remy VSOP (ABV 40%), France,750ml,2400,40,France,
Brandy,All Brandy,St Remy VSOP,St Remy VSOP (ABV 40%), France,1 Litre,2800,40,France,
Brandy,All Brandy,Three Barrels VSOP,Three Barrels VSOP (ABV 40%), France,1 Litre,2685,40,France,
Brandy,All Brandy,Three Barrels VSOP,Three Barrels VSOP (ABV 40%), France,750ML,2595,40,France,
Brandy,All Brandy,Courvoisier VSOP,Courvoisier VSOP (ABV 40%), France,1 Litre,7800,40,France,
Brandy,All Brandy,Courvoisier VSOP,Courvoisier VSOP (ABV 40%), France,750ML,7200,40,France,
Brandy,All Brandy,Remy Martin's XO,Remy Martin's XO (ABV 40%), France,700ML,28000,40,France,
Brandy,All Brandy,Grand Marnier,Grand Marnier (ABV 40%), France,1 Litre,4600,40,France,
Brandy,All Brandy,Grand Marnier,Grand Marnier (ABV 40%), France,700ML,4200,40,France,
Brandy,All Brandy,JP Chenet French Brandy XO,JP Chenet French Brandy XO (ABV 36%), France,750ML,3500,36,France,
Brandy,All Brandy,Camus VSOP,Camus VSOP (ABV 40%), France,750ml,7200,40,France,
Brandy,All Brandy,Camus VSOP,Camus VSOP (ABV 40%), France,1 Litre,8400,40,France,
Brandy,All Brandy,Camus VS,Camus VS (ABV 40%), France,1 Litre,6400,40,France,
Brandy,All Brandy,Camus VS,Camus VS (ABV 40%), France,750ML,5400,40,France,
Brandy,All Brandy,Camus XO,Camus XO (ABV 40%), France,1 Litre,34800,40,France,
Brandy,All Brandy,St Rhys Napoleon Brandy,St Rhys Napoleon Brandy (ABV 40%), French,1 Litre,2500,40,French,
Brandy,All Brandy,KWV brandy 12 years,KWV brandy 12 years (ABV 38%), South Africa,750ML,6300,38,South Africa,
Brandy,All Brandy,KWV XO,KWV XO (ABV 40%), South Africa,700ML,14800,40,South Africa,
Brandy,All Brandy,Piper Heidesieck,Piper Heidesieck (ABV 12.5%), French,750ML,8500,12.5,French,
Brandy,All Brandy,Raynal Vsop Brandy,Raynal Vsop Brandy (ABV 40%), France,1 Litre,3500,40,France,
Brandy,All Brandy,Metaxa 7 Stars,Metaxa 7 Stars (ABV 40%), Greece,1 Litre,5400,40,Greece,
Brandy,All Brandy,Camus Borderies,Camus Borderies (ABV 40%), France,700ML,25000,40,France,
Brandy,All Brandy,Godet XO,Godet XO (ABV 40%), France,750ml,19500,40,France,
Brandy,All Brandy,Metaxa 5 Stars,Metaxa 5 Stars (ABV 40%), Greece,1 Litre,4500,40,Greece,
Brandy,All Brandy,Meukow VSOP,Meukow VSOP (ABV 40%), French,1 Litre,4400,40,French,
Brandy,All Brandy,McDowell's No.1 Whisky,McDowell's No.1 Whisky (ABV 40%), India,750ML,1500,40,India,
