Category,SubCategory,Drink Name,Description,Price (KES),Capacity,ABV,Origin,Special Notes
Champagne,All Champagne,Veuve Clicquot Grand Dame Brut,Premium champagne with exceptional quality,30000,750ML,12,France,Popular
Champagne,Rose Champagne,Mumm Champagne Rouge Rose,French rose champagne with elegant taste,9200,750ML,13,France,
Champagne,Rose Champagne,Belaire Rose Fantome,French rose champagne with unique character,6400,750ML,12.5,France,
Champagne,All Champagne,Belaire Luxe,Premium French champagne,5200,750ML,12.5,France,
Champagne,Rose Champagne,Calvet Celebration Sparkling Brut-Rose,French sparkling rose wine,2500,750ML,11.5,France,
Champagne,Rose Champagne,Arthur Metz Crémant Rose,French crémant rose champagne,3095,750ml,12,France,
Champagne,Sparkling Wine,Calvet Ice Chardonnay Demi Sec,French chardonnay sparkling wine,2900,750ML,11.5,France,
Champagne,Rose Champagne,Calvet Crémant Bordeaux Brut Rose,French crémant rose from Bordeaux,3200,750ML,11.5,France,
Champagne,Sparkling Wine,Arthur Metz Crémant d'Alsace,French crémant from Alsace region,3600,750ML,12,France,
Champagne,Sparkling Wine,Calvet Celebration Sparkling Brut-White,French sparkling white wine,2500,750ML,11.5,France,
Champagne,Rose Champagne,Fleurs de Prairie Sparkling Brut-Rose,French sparkling rose wine,2500,750ML,12,France,
Champagne,All Champagne,Taittinger Brut Reserve,Premium French champagne,13500,750ML,12,France,Popular
Champagne,Sparkling Wine,Perle Noir Crémant d'Alsace,French crémant from Alsace,3500,750ML,12,France,
Champagne,All Champagne,Moet & Chandon Imperial Brut,Iconic French champagne,8200,750ML,12,France,Popular
Champagne,Rose Champagne,Belaire Luxe Rose Fantome,French rose champagne luxury edition,5400,750ML,12.5,France,
Champagne,Rose Champagne,Taittinger Prestige Rose,Premium French rose champagne,14500,750ML,12,France,
Champagne,All Champagne,Dom Perignon Brut,Ultra-premium French champagne,48000,750ML,12,France,Popular
Champagne,Rose Champagne,Belaire Rose,French rose champagne,5200,750ML,12.5,France,
Champagne,All Champagne,Henri IV Dudognon Heritage Cognac Grade Champagne,Ultra-premium cognac grade champagne,2000000,750ML,41,France,
Champagne,Sparkling Wine,Fleurs de Prairie Sparkling Brut-White,French sparkling white wine,2500,750ML,12,France,
Champagne,All Champagne,Veuve Clicquot Brut,Classic French champagne,11300,750ML,12,France,Popular
Champagne,All Champagne,Belaire Gold,French gold champagne,5200,750ML,12.5,France,
Champagne,All Champagne,Ace Of Spades Champagne,Ultra-premium French champagne,65000,750ML,12.5,France,
Champagne,Sparkling Wine,Martini Zero,Italian sparkling wine,1700,750ml,0,Italia,
Champagne,All Champagne,Laurent Perrier Brut,Premium French champagne,11500,750ML,12,France,
Champagne,Sparkling Wine,Martini Prosecco,Italian prosecco sparkling wine,2895,750ml,11.5,Italia,
Champagne,Rose Champagne,Moet & Chandon Imperial Rose,French rose champagne,13500,750ML,12,France,
Champagne,All Champagne,Belaire Brut,French brut champagne,5600,750ML,12.5,France,
Champagne,Rose Champagne,Dom Perignon Rose,Ultra-premium French rose champagne,47000,750ML,12.5,France,Popular
Champagne,All Champagne,Belaire Bleu,French blue champagne,5200,750ML,12.5,France,
Champagne,All Champagne,Belaire Luxe Fantome,French luxury champagne,5000,750ml,12.5,France,
Champagne,Rose Champagne,Moet & Chandon Nectar Imperial Rose,French rose champagne nectar,13500,750ML,12,France,
Champagne,All Champagne,Belaire Gold Fantome,French gold champagne,5200,750ml,12.5,France,
Champagne,All Champagne,Perrier Jouet,Premium French champagne,9500,750ML,12,France,
Champagne,All Champagne,Moet & Chandon Imperial Ice,French champagne ice edition,14500,750ml,12,France,
Champagne,Rose Champagne,Piper Heidesieck Rose,French rose champagne,8500,750ML,12,France,
Champagne,Rose Champagne,Veuve Clicquot Rose,French rose champagne,13800,750ML,12,France,
Champagne,All Champagne,Piper Heidesieck,French champagne,8500,750ML,12.5,France,
Champagne,All Champagne,Moet & Chandon 1.5litres,French champagne large bottle,25000,1.5 Litres,12,France,
Champagne,Sparkling Wine,Liopart Brut Reserva,Spanish sparkling wine,4000,750ml,11.5,Spain,
Champagne,All Champagne,Moet & Chandon Nectar Imperial,French champagne nectar,14500,750ML,12,France,
Champagne,All Champagne,GH Mumm,French champagne,8500,750ML,13,France,
