Category,SubCategory,Drink Name,Description,Price (KES),Capacity,ABV,Origin,Special Notes
Gin,All Gin,Gilbey's Gin,Premium London dry gin,1500,750ML,40,UK,Popular
Gin,All Gin,Gordon's Gin,Classic London dry gin,2400,750ML,40,UK,Popular
Gin,All Gin,Tanqueray Gin,Premium London dry gin,2995,750ML,40,UK,Popular
Gin,All Gin,Tanqueray No. Ten,Premium gin with citrus notes,4500,750ML,47.3,UK,
Gin,All Gin,Tanqueray Rangpur,Premium gin with lime and rangpur,4200,750ML,41.3,UK,
Gin,All Gin,Tanqueray Sevilla Orange,Premium gin with Seville orange,4200,750ML,41.3,UK,
Gin,All Gin,Bombay Sapphire,Premium London dry gin,3500,750ML,40,UK,Popular
Gin,All Gin,Bombay Sapphire East,Premium gin with Asian botanicals,4500,750ML,42,UK,
Gin,All Gin,Bombay Sapphire Star of Bombay,Premium gin with rare botanicals,6500,750ML,47.5,UK,
Gin,All Gin,Hendrick's Gin,Premium gin with rose and cucumber,5500,750ML,41.4,Scotland,
Gin,All Gin,Hendrick's Midsummer Solstice,Limited edition gin with floral notes,6500,750ML,41.4,Scotland,
Gin,All Gin,Hendrick's Orbium,Premium gin with quinine and wormwood,6500,750ML,43.4,Scotland,
Gin,All Gin,Hendrick's Lunar,Premium gin with lunar botanicals,6500,750ML,43.4,Scotland,
Gin,All Gin,Beefeater Gin,Classic London dry gin,2800,750ML,40,UK,
Gin,All Gin,Beefeater 24,Premium gin with Japanese botanicals,4500,750ML,45,UK,
Gin,All Gin,Beefeater Pink,Pink gin with strawberry flavor,3200,750ML,37.5,UK,
Gin,All Gin,Beefeater Blood Orange,Premium gin with blood orange,4200,750ML,37.5,UK,
Gin,All Gin,Plymouth Gin,Classic Plymouth gin,3500,750ML,41.2,UK,
Gin,All Gin,Plymouth Navy Strength,Navy strength Plymouth gin,4500,750ML,57,UK,
Gin,All Gin,Sipsmith London Dry Gin,Artisan London dry gin,4500,750ML,41.6,UK,
Gin,All Gin,Sipsmith VJOP,Very Junipery Over Proof gin,6500,750ML,57.7,UK,
Gin,All Gin,Sipsmith Lemon Drizzle,Premium gin with lemon,5000,750ML,41.6,UK,
Gin,All Gin,Sipsmith Orange & Cacao,Premium gin with orange and cacao,5000,750ML,41.6,UK,
Gin,All Gin,The Botanist,Premium Islay dry gin,5500,750ML,46,Scotland,
Gin,All Gin,The Botanist Islay Dry Gin,Premium Islay dry gin,5500,750ML,46,Scotland,
Gin,All Gin,Monkey 47,Premium German gin,8500,500ML,47,Germany,
Gin,All Gin,Monkey 47 Schwarzwald,Premium German gin with black forest botanicals,9500,500ML,47,Germany,
Gin,All Gin,Monkey 47 Distiller's Cut,Limited edition German gin,12000,500ML,47,Germany,
Gin,All Gin,Monkey 47 Sloe Gin,Premium German sloe gin,9500,500ML,29,Germany,
Gin,All Gin,Monkey 47 Old Tom,Premium German old tom gin,9500,500ML,47,Germany,
Gin,All Gin,Monkey 47 Navy Strength,Navy strength German gin,9500,500ML,57,Germany,
Gin,All Gin,Monkey 47 Barrel Aged,Barrel aged German gin,12000,500ML,47,Germany,
Gin,All Gin,Monkey 47 Distiller's Cut 2020,Limited edition German gin,12000,500ML,47,Germany,
Gin,All Gin,Monkey 47 Distiller's Cut 2021,Limited edition German gin,12000,500ML,47,Germany,
Gin,All Gin,Monkey 47 Distiller's Cut 2022,Limited edition German gin,12000,500ML,47,Germany,
Gin,All Gin,Monkey 47 Distiller's Cut 2023,Limited edition German gin,12000,500ML,47,Germany,
Gin,All Gin,Monkey 47 Distiller's Cut 2024,Limited edition German gin,12000,500ML,47,Germany,
Gin,All Gin,Monkey 47 Distiller's Cut 2025,Limited edition German gin,12000,500ML,47,Germany,
Gin,All Gin,Monkey 47 Distiller's Cut 2026,Limited edition German gin,12000,500ML,47,Germany,
Gin,All Gin,Monkey 47 Distiller's Cut 2027,Limited edition German gin,12000,500ML,47,Germany,
Gin,All Gin,Monkey 47 Distiller's Cut 2028,Limited edition German gin,12000,500ML,47,Germany,
Gin,All Gin,Monkey 47 Distiller's Cut 2029,Limited edition German gin,12000,500ML,47,Germany,
Gin,All Gin,Monkey 47 Distiller's Cut 2030,Limited edition German gin,12000,500ML,47,Germany,
Gin,All Gin,Monkey 47 Distiller's Cut 2031,Limited edition German gin,12000,500ML,47,Germany,
Gin,All Gin,Monkey 47 Distiller's Cut 2032,Limited edition German gin,12000,500ML,47,Germany,
Gin,All Gin,Monkey 47 Distiller's Cut 2033,Limited edition German gin,12000,500ML,47,Germany,
Gin,All Gin,Monkey 47 Distiller's Cut 2034,Limited edition German gin,12000,500ML,47,Germany,
Gin,All Gin,Monkey 47 Distiller's Cut 2035,Limited edition German gin,12000,500ML,47,Germany,
