Category,SubCategory,Drink Name,Description,Price (KES),Capacity,ABV,Origin,Special Notes
Liqueur,All Liqueur,Baileys Original Irish Cream,Cream liqueur with Irish whiskey,3500,750ML,17,Ireland,Popular
Liqueur,All Liqueur,Baileys Salted Caramel,Cream liqueur with salted caramel,3800,750ML,17,Ireland,
Liqueur,All Liqueur,Baileys Chocolate Luxe,Premium chocolate cream liqueur,4500,750ML,17,Ireland,
Liqueur,All Liqueur,Kahlua Coffee Liqueur,Coffee liqueur,2800,750ML,20,Mexico,Popular
Liqueur,All Liqueur,Kahlua Salted Caramel,Coffee liqueur with salted caramel,3200,750ML,20,Mexico,
Liqueur,All Liqueur,Kahlua Vanilla,Coffee liqueur with vanilla,3200,750ML,20,Mexico,
Liqueur,All Liqueur,Grand Marnier,Orange cognac liqueur,4500,750ML,40,France,
Liqueur,All Liqueur,Cointreau,Orange liqueur,3500,750ML,40,France,
Liqueur,All Liqueur,Triple Sec,Orange liqueur,1800,750ML,30,France,
Liqueur,All Liqueur,Blue Curacao,Blue orange liqueur,2200,750ML,20,Netherlands,
Liqueur,All Liqueur,Amaretto Disaronno,Almond liqueur,3200,750ML,28,Italy,
Liqueur,All Liqueur,Amaretto Lazzaroni,Italian almond liqueur,2800,750ML,24,Italy,
Liqueur,All Liqueur,Frangelico,Hazelnut liqueur,3500,750ML,20,Italy,
Liqueur,All Liqueur,Chambord,Black raspberry liqueur,4500,750ML,16.5,France,
Liqueur,All Liqueur,St-Germain,Elderflower liqueur,4200,750ML,20,France,
Liqueur,All Liqueur,Chartreuse Green,Herbal liqueur,5500,750ML,55,France,
Liqueur,All Liqueur,Chartreuse Yellow,Herbal liqueur,5000,750ML,40,France,
Liqueur,All Liqueur,Benedictine,Herbal liqueur,4500,750ML,40,France,
Liqueur,All Liqueur,Drambuie,Scotch whisky liqueur,4200,750ML,40,Scotland,
Liqueur,All Liqueur,Southern Comfort,Peach liqueur,2800,750ML,35,USA,
Liqueur,All Liqueur,Jagermeister,Herbal liqueur,3200,750ML,35,Germany,
Liqueur,All Liqueur,Sambuca,Anise liqueur,2500,750ML,38,Italy,
Liqueur,All Liqueur,Anisette,Anise liqueur,2000,750ML,25,Italy,
Liqueur,All Liqueur,Maraschino,Cherry liqueur,3500,750ML,32,Italy,
Liqueur,All Liqueur,Limoncello,Lemon liqueur,2800,750ML,28,Italy,
Liqueur,All Liqueur,Strega,Herbal liqueur,3800,750ML,40,Italy,
Liqueur,All Liqueur,Aperol,Orange aperitif,2500,750ML,11,Italy,
Liqueur,All Liqueur,Campari,Bitter aperitif,2200,750ML,25,Italy,
Liqueur,All Liqueur,Fernet-Branca,Bitter herbal liqueur,3000,750ML,39,Italy,
Liqueur,All Liqueur,Underberg,Bitter digestive,150,20ML,44,Germany,
Liqueur,All Liqueur,Peach Schnapps,Peach liqueur,1800,750ML,20,Germany,
Liqueur,All Liqueur,Apple Schnapps,Apple liqueur,1800,750ML,20,Germany,
Liqueur,All Liqueur,Butterscotch Schnapps,Butterscotch liqueur,2000,750ML,15,USA,
Liqueur,All Liqueur,Cinnamon Schnapps,Cinnamon liqueur,2000,750ML,33,USA,
Liqueur,All Liqueur,Peppermint Schnapps,Peppermint liqueur,2000,750ML,15,USA,
Liqueur,All Liqueur,Watermelon Schnapps,Watermelon liqueur,2000,750ML,15,USA,
Liqueur,All Liqueur,Melon Liqueur,Melon liqueur,2500,750ML,20,Japan,
Liqueur,All Liqueur,Midori,Melon liqueur,2800,750ML,20,Japan,
Liqueur,All Liqueur,Green Chartreuse,Herbal liqueur,5500,750ML,55,France,
