Category,SubCategory,Drink Name,Description,Capacity,Price (KES),ABV,Origin,Special Notes
Smokes,Cigarettes,Embassy Lights,Cigarette packet,Packet,600,,Kenya,
Smokes,Cigarettes,Sportsman,Cigarette packet,Packet,550,,Kenya,
Smokes,Cigarettes,SM cigarettes,Cigarette packet,Packet,450,,Kenya,
Smokes,Cigarettes,Dunhill Double Switch,Cigarette packet,Packet,600,,Kenya,
Smokes,Cigarettes,Marlboro Gold Cigarettes,Cigarette packet,Packet,890,,Kenya,
Smokes,Cigarettes,Dunhill Lights,Cigarette packet,Packet,600,,Kenya,
Smokes,Cigarettes,Rothmans blue,Cigarette packet,Packet,450,,Kenya,
Smokes,Cigarettes,Rothman's SM,Cigarette packet,Packet,450,,Kenya,
Smokes,Cigarettes,Rothmans King,Cigarette packet,Packet,450,,Kenya,
Smokes,Cigarettes,Marlboro Menthol,Cigarette packet,Packet,890,,Kenya,
Smokes,Cigarettes,Embassy King,Cigarette packet,Packet,600,,Kenya,
Smokes,Cigarettes,Dunhill Switch,Cigarette packet,Packet,600,,Kenya,
Smokes,Cigars,Villiger no 1 Sumatra,Cigar,1 Piece,2000,,Kenya,
Smokes,Cigars,Villiger Premium No 7 sumatra,Cigar,1 Piece,1700,,Kenya,
Smokes,Cigars,Villiger Export,Cigar,1 Piece,1500,,Kenya,
Smokes,Cigars,Bongani Cigar,Cigar,1 Piece,2300,,Kenya,
Smokes,Cigars,Kafie 1901 Robusto Cigar,Cigar,1 Piece,2095,,Kenya,
Smokes,Cigars,Montecristo Cigars,Cigar,1 Piece,3600,,Kenya,
Smokes,Cigars,Kafie Churchill Cigars,Cigar,1 Piece,2800,,Kenya,
Smokes,Cigars,Kafie 1901 Sumatra,Cigar,1 Piece,2800,,Kenya,
Smokes,Cigars,Kafie 1901 San Andres,Cigar,1 Piece,2800,,Kenya,
Smokes,Cigars,Kafie Connectcut,Cigar,1 Piece,2800,,Kenya,
Smokes,Cigars,Don Fernando Maduro,Cigar,1 Piece,2800,,Kenya,
Smokes,Cigars,Al Capone Cigar,Cigar,1 Piece,0,,Kenya,
Smokes,Rolling Papers,Classic Raw Rolling Paper,Rolling paper,Kingsize Slim,300,,Kenya,
Smokes,Rolling Papers,Classic Raw Rolling Paper,Rolling paper,Single Wide,300,,Kenya,
Smokes,Rolling Papers,Organic Hemp Rolling Paper,Rolling paper,Kingsize Slim,200,,Kenya,
Smokes,Rolling Papers,Mbichwa Rolling paper,Rolling paper,Single Wide,250,,Kenya,
Smokes,Rolling Papers,WeTop Rolling Paper,Rolling paper,Kingsize Slim,200,,Kenya,
Smokes,Nicotine Pouches,Velo Indigo Blue Strength 3 Nicotine Pouches,Nicotine pouches,20 Pouches,995,,Sweden,
Smokes,Nicotine Pouches,Sky Nicotine Pouches Mango,Nicotine pouches,20 Pouches,600,,Kenya,
Smokes,Nicotine Pouches,Blue Giant Nicotine Pouches,Nicotine pouches,20 Pouches,1300,,Kenya,
Smokes,Nicotine Pouches,Sky Nicotine Pouches Passion,Nicotine pouches,Packet,600,,Kenya,
