Category,SubCategory,Drink Name,Description,Price (KES),Capacity,ABV,Origin,Special Notes
Soft Drinks,All Soft Drinks,Coca Cola Classic,Classic cola soft drink,120,500ML,0,Kenya,Popular
Soft Drinks,All Soft Drinks,Coca Cola Classic,Classic cola soft drink,200,1L,0,Kenya,Popular
Soft Drinks,All Soft Drinks,Coca Cola Classic,Classic cola soft drink,350,1.5L,0,Kenya,Popular
Soft Drinks,All Soft Drinks,Coca Cola Classic,Classic cola soft drink,450,2L,0,Kenya,Popular
Soft Drinks,All Soft Drinks,Coca Cola Zero Sugar,Zero sugar cola drink,120,500ML,0,Kenya,
Soft Drinks,All Soft Drinks,Coca Cola Zero Sugar,Zero sugar cola drink,200,1L,0,Kenya,
Soft Drinks,All Soft Drinks,Coca Cola Zero Sugar,Zero sugar cola drink,350,1.5L,0,Kenya,
Soft Drinks,All Soft Drinks,Coca Cola Zero Sugar,Zero sugar cola drink,450,2L,0,Kenya,
Soft Drinks,All Soft Drinks,Coca Cola Diet,Diet cola drink,120,500ML,0,Kenya,
Soft Drinks,All Soft Drinks,Coca Cola Diet,Diet cola drink,200,1L,0,Kenya,
Soft Drinks,All Soft Drinks,Coca Cola Diet,Diet cola drink,350,1.5L,0,Kenya,
Soft Drinks,All Soft Drinks,Coca Cola Diet,Diet cola drink,450,2L,0,Kenya,
Soft Drinks,All Soft Drinks,Fanta Orange,Orange flavored soft drink,120,500ML,0,Kenya,Popular
Soft Drinks,All Soft Drinks,Fanta Orange,Orange flavored soft drink,200,1L,0,Kenya,Popular
Soft Drinks,All Soft Drinks,Fanta Orange,Orange flavored soft drink,350,1.5L,0,Kenya,Popular
Soft Drinks,All Soft Drinks,Fanta Orange,Orange flavored soft drink,450,2L,0,Kenya,Popular
Soft Drinks,All Soft Drinks,Fanta Pineapple,Pineapple flavored soft drink,120,500ML,0,Kenya,
Soft Drinks,All Soft Drinks,Fanta Pineapple,Pineapple flavored soft drink,200,1L,0,Kenya,
Soft Drinks,All Soft Drinks,Fanta Pineapple,Pineapple flavored soft drink,350,1.5L,0,Kenya,
Soft Drinks,All Soft Drinks,Fanta Pineapple,Pineapple flavored soft drink,450,2L,0,Kenya,
Soft Drinks,All Soft Drinks,Fanta Grape,Grape flavored soft drink,120,500ML,0,Kenya,
Soft Drinks,All Soft Drinks,Fanta Grape,Grape flavored soft drink,200,1L,0,Kenya,
Soft Drinks,All Soft Drinks,Fanta Grape,Grape flavored soft drink,350,1.5L,0,Kenya,
Soft Drinks,All Soft Drinks,Fanta Grape,Grape flavored soft drink,450,2L,0,Kenya,
Soft Drinks,All Soft Drinks,Sprite,Lemon-lime soft drink,120,500ML,0,Kenya,Popular
Soft Drinks,All Soft Drinks,Sprite,Lemon-lime soft drink,200,1L,0,Kenya,Popular
Soft Drinks,All Soft Drinks,Sprite,Lemon-lime soft drink,350,1.5L,0,Kenya,Popular
Soft Drinks,All Soft Drinks,Sprite,Lemon-lime soft drink,450,2L,0,Kenya,Popular
Soft Drinks,All Soft Drinks,Sprite Zero Sugar,Zero sugar lemon-lime drink,120,500ML,0,Kenya,
Soft Drinks,All Soft Drinks,Sprite Zero Sugar,Zero sugar lemon-lime drink,200,1L,0,Kenya,
Soft Drinks,All Soft Drinks,Sprite Zero Sugar,Zero sugar lemon-lime drink,350,1.5L,0,Kenya,
Soft Drinks,All Soft Drinks,Sprite Zero Sugar,Zero sugar lemon-lime drink,450,2L,0,Kenya,
Soft Drinks,All Soft Drinks,Pepsi Cola,Classic cola soft drink,120,500ML,0,Kenya,Popular
Soft Drinks,All Soft Drinks,Pepsi Cola,Classic cola soft drink,200,1L,0,Kenya,Popular
Soft Drinks,All Soft Drinks,Pepsi Cola,Classic cola soft drink,350,1.5L,0,Kenya,Popular
Soft Drinks,All Soft Drinks,Pepsi Cola,Classic cola soft drink,450,2L,0,Kenya,Popular
Soft Drinks,All Soft Drinks,Pepsi Zero Sugar,Zero sugar cola drink,120,500ML,0,Kenya,
Soft Drinks,All Soft Drinks,Pepsi Zero Sugar,Zero sugar cola drink,200,1L,0,Kenya,
Soft Drinks,All Soft Drinks,Pepsi Zero Sugar,Zero sugar cola drink,350,1.5L,0,Kenya,
Soft Drinks,All Soft Drinks,Pepsi Zero Sugar,Zero sugar cola drink,450,2L,0,Kenya,
Soft Drinks,All Soft Drinks,Mountain Dew,Citrus flavored soft drink,120,500ML,0,Kenya,
Soft Drinks,All Soft Drinks,Mountain Dew,Citrus flavored soft drink,200,1L,0,Kenya,
Soft Drinks,All Soft Drinks,Mountain Dew,Citrus flavored soft drink,350,1.5L,0,Kenya,
Soft Drinks,All Soft Drinks,Mountain Dew,Citrus flavored soft drink,450,2L,0,Kenya,
Soft Drinks,All Soft Drinks,7UP,Lemon-lime soft drink,120,500ML,0,Kenya,
Soft Drinks,All Soft Drinks,7UP,Lemon-lime soft drink,200,1L,0,Kenya,
Soft Drinks,All Soft Drinks,7UP,Lemon-lime soft drink,350,1.5L,0,Kenya,
Soft Drinks,All Soft Drinks,7UP,Lemon-lime soft drink,450,2L,0,Kenya,
Soft Drinks,All Soft Drinks,Dr Pepper,Cherry cola soft drink,120,500ML,0,Kenya,
Soft Drinks,All Soft Drinks,Dr Pepper,Cherry cola soft drink,200,1L,0,Kenya,
Soft Drinks,All Soft Drinks,Dr Pepper,Cherry cola soft drink,350,1.5L,0,Kenya,
Soft Drinks,All Soft Drinks,Dr Pepper,Cherry cola soft drink,450,2L,0,Kenya,
Soft Drinks,All Soft Drinks,Mirinda Orange,Orange flavored soft drink,120,500ML,0,Kenya,
