t=2026-01-12T04:55:29+0300 lvl=info msg="no configuration paths supplied"
t=2026-01-12T04:55:29+0300 lvl=info msg="using configuration at default config path" path="/Users/maria/Library/Application Support/ngrok/ngrok.yml"
t=2026-01-12T04:55:29+0300 lvl=info msg="open config file" path="/Users/maria/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-01-12T04:55:29+0300 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-01-12T04:55:31+0300 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-12T04:55:31+0300 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-12T04:55:31+0300 lvl=info msg="update available" obj=updater
t=2026-01-12T04:55:31+0300 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:5001 url=https://homiest-psychopharmacologic-anaya.ngrok-free.dev
t=2026-01-12T04:55:43+0300 lvl=info msg=start pg=/api/tunnels id=7e7bf67835fc5a88
t=2026-01-12T04:55:43+0300 lvl=info msg=end pg=/api/tunnels id=7e7bf67835fc5a88 status=200 dur=1.056125ms
t=2026-01-12T04:59:37+0300 lvl=info msg="join connections" obj=join id=b094dba6b9c3 l=[::1]:5001 r=102.0.13.212:49926
t=2026-01-12T05:06:41+0300 lvl=info msg="join connections" obj=join id=d40b14598754 l=[::1]:5001 r=102.0.13.212:50495
t=2026-01-12T05:34:23+0300 lvl=info msg="join connections" obj=join id=ec897f08eaa3 l=[::1]:5001 r=102.0.13.212:46338
t=2026-01-12T05:34:24+0300 lvl=info msg="join connections" obj=join id=bd848dbaf0c2 l=[::1]:5001 r=102.0.13.212:46338
t=2026-01-12T05:34:24+0300 lvl=info msg="join connections" obj=join id=52857d885a26 l=[::1]:5001 r=102.0.13.212:46338
t=2026-01-12T05:34:24+0300 lvl=info msg="join connections" obj=join id=9ac960c2e59c l=[::1]:5001 r=102.0.13.212:46338
t=2026-01-12T05:34:24+0300 lvl=info msg="join connections" obj=join id=e6340eaafc7d l=[::1]:5001 r=102.0.13.212:46312
t=2026-01-12T05:34:49+0300 lvl=info msg="join connections" obj=join id=cdc2fd7fb10c l=[::1]:5001 r=102.0.13.212:46338
t=2026-01-12T05:34:55+0300 lvl=info msg="join connections" obj=join id=d8826a66a068 l=[::1]:5001 r=102.0.13.212:46338
t=2026-01-12T05:34:55+0300 lvl=info msg="join connections" obj=join id=76e08fbfbe45 l=[::1]:5001 r=102.0.13.212:46338
t=2026-01-12T05:34:55+0300 lvl=info msg="join connections" obj=join id=dfcafca1e099 l=[::1]:5001 r=102.0.13.212:46338
t=2026-01-12T05:34:55+0300 lvl=info msg="join connections" obj=join id=be99d7fec1ec l=[::1]:5001 r=102.0.13.212:46338
t=2026-01-12T05:34:56+0300 lvl=info msg="join connections" obj=join id=dd093860bdf4 l=[::1]:5001 r=102.0.13.212:46262
t=2026-01-12T05:35:58+0300 lvl=info msg="join connections" obj=join id=1aedd2301026 l=[::1]:5001 r=102.0.13.212:46338
t=2026-01-12T05:38:03+0300 lvl=info msg="join connections" obj=join id=7e1cc8fb8b97 l=[::1]:5001 r=102.0.13.212:41486
t=2026-01-12T05:38:03+0300 lvl=info msg="join connections" obj=join id=793fafe329f9 l=[::1]:5001 r=102.0.13.212:41486
t=2026-01-12T05:38:03+0300 lvl=info msg="join connections" obj=join id=63c98126c12e l=[::1]:5001 r=102.0.13.212:41486
t=2026-01-12T05:38:03+0300 lvl=info msg="join connections" obj=join id=c6902e06e3c9 l=[::1]:5001 r=102.0.13.212:41486
t=2026-01-12T05:38:06+0300 lvl=info msg="join connections" obj=join id=468c25d217f3 l=[::1]:5001 r=102.0.13.212:41496
t=2026-01-12T05:39:09+0300 lvl=info msg="join connections" obj=join id=71eeab2d9c29 l=[::1]:5001 r=102.0.13.212:41486
